OBJECTID,LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID,Shape__Area,Shape__Length
15,O'Fallon,O'Fallon Park,M40,Park,Mountain,814.6290755,Yes,1938,2008,MP,None,None,,,25500 State Highway 74,,Evergreen,CO,80439,39.64620756,-105.28801801,MP,"Picnic Area, Picnic Tables, West Ridge Trail, Meadow View Trail, Bear Creek Trail, Chmney Shelter",corwina_ofallon_pence.pdf,ofallonpark.jpg,,5/21/2010 12:00:00 AM,351215e4-599f-4084-9f72-12e3fe7937bd,35485100.5854492,39133.9904127807
16,Fillius,Fillius Park,M23,Park,Mountain,109.38372244,Yes,1914,2008,MP,None,None,,,1300 Old Highway 74,,Evergreen,CO,80439,39.6960758,-105.35239638,MP,"Picnic Shelter, Picnic Tables, Restroom, Historic Stone Wellhouse, Fillius Trail",Fillius_ParkMap.pdf,filliusmtnpark.jpg,,5/14/2010 12:00:00 AM,6e88aa94-868c-490c-a02c-89159901a467,4783626.34912109,11985.7494717396
18,Crescent,Crescent Park,L25,Park,Neighborhood,7.15771626,Yes - 2014,2007,2007,NE,5,3,8th Av & Roslyn,167217,782 N Roslyn St,,Denver,CO,,39.72924484,-104.89857614,PK,"Benches, Drinking Fountain, Picnic Tables, Picnic Shelter, Playground, Natural Areas, Bike/Pedestrian Path, Picnic Area",ParkArt_Crescent Park.pdf,crescentpark.jpg,Yes,5/19/2009 12:00:00 AM,43f60679-b697-45d9-8b79-f701f02cd411,311788.870117188,2600.56121028633
19,Elmendorf,Elmendorf Park,536,Park,Neighborhood,5.79427588,Yes,1966,None,NE,8,5,Elmendorf Pl & Scranton St,357042,12701 E Elmendorf Pl,,Denver,CO,,39.79256388,-104.84142359,PK,"Benches, Picnic Tables, Playground, Basketball Court, Baseball / Softball Field, Soccer Field",ParkArt_Elmendorf Park.pdf,elmendorfpark.jpg,Yes,11/25/2008 12:00:00 AM,8db145a7-d374-41de-94b7-2b933ea13717,252397.6484375,2204.08639600687
20,Garland South Greenbelt,Garland South Greenbelt,649,Park,Linear,2.47516107,No,1963,N/A,E,6,3,Monaco & Cherry Creek North Dr,,6801 E Cherry Creek North Dr,,Denver,CO,,39.69037509,-104.91051647,,"Bike/Pedestrian Path, Open Space, Natural Areas",ParkArt_Garland South Greenbelt.pdf,no_imagerec.gif,Yes,2/26/2010 12:00:00 AM,04e9a967-1d76-42e6-9fbf-1bd4ae58828d,107817.583496094,3427.16976704426
22,SW Rec Center,Southwest Recreation Center,101,Park,Neighborhood,6.21982662,Yes - 2017,1981,None,SW,2,4,Garrison St & Saratoga Pl,190713,9200 W Saratoga Pl,,Denver,CO,,39.62899527,-105.09935606,PK,"Recreation Center, Outdoor Pool, Soccer Field, Baseball / Softball Field, Benches",ParkArt_Southwest Recreation Center.pdf,no_imagerec.gif,Yes,12/11/2009 12:00:00 AM,d7c8b42a-33b9-4dfd-baf6-44b246ce6bd7,270934.564941406,2189.29804280942
23,City of Potenza,City of Potenza Park,762,Park,Neighborhood,4.55815567,Yes,1977,None,E,6,3,Cherry Creek Dr S & Holly St,356811,1101 S Holly St,,Denver,CO,,39.69600699,-104.92362203,PK,"Benches, Playground, Bike/Pedestrian Path, Bocce Ball Court",ParkArt_City of Potenza Park.pdf,potenzapark.jpg,No,12/12/2008 12:00:00 AM,3fbadcc4-0884-48cb-b7c0-a1302aa9401e,198552.466308594,1970.01475712188
24,Ash Grove,Ash Grove Park,751,Park,Neighborhood,7.3056797,Yes,1973,None,E,6,3,Holly St & Mexico Av,356723,1701 S Holly St,,Denver,CO,,39.68527668,-104.92411106,PK,"Benches, Picnic Tables, Playground, Basketball Court, Soccer Field, Bike/Pedestrian Path",ParkArt_Ash Grove Park.pdf,ashgrovepark.jpg,Yes,12/12/2008 12:00:00 AM,70a94744-609f-4df8-899d-e1de313434dc,318234.13671875,2746.50353134692
25,Congress,Congress Park,314,Park,Community,19.19696381,Yes - 1956,1890,None,E,10,3,8th Av & Josephine St,,850 N Josephine St,,Denver,CO,,39.73009892,-104.95708382,PK,"Benches, Drinking Fountain, Picnic Shelter, Picnic Tables, Playground, Outdoor Pool, Restroom, Basketball Court, Football Field, Baseball / Softball Field, Soccer Field, Tennis Court, Parking Lot, Picnic Area",ParkArt_Congress Park.pdf,congresspark.jpg,Yes,8/14/2009 12:00:00 AM,ee0462d9-68f2-4020-9f09-e9f1a17a56ea,836216.397460938,3946.40516968195
27,Hutchinson,Hutchinson (Theodore A) Park,616,Open Space,Open Space,16.30294028,Yes,1967,2002,E,4,3,Tamarac Dr & Cornell Av,,7201 E Eastman Ave,,Denver,CO,,39.65841965,-104.90384432,PK,"Picnic Tables, Benches, Playground, Parking Lot, Bike/Pedestrian Path, Natural Areas",ParkArt_Hutchinson (Theodore A) Park.pdf,hutchinsonpark.jpg,Yes,1/9/2009 12:00:00 AM,1328191c-2c6d-4af6-a147-a9c05c36fbdc,710153.239746094,7413.58565907646
28,Wagon Trail,Wagon Trail Park,177,Park,Linear,16.03834596,No,1981,N/A,SW,2,4,Wagon Trail Dr & Saratoga Pl,155443,4795 S Garland St,,Denver,CO,,39.62924014,-105.10148814,PK,"Bike/Pedestrian Path, Natural Areas",ParkArt_Wagon Trail.pdf,villagewestpark.jpg,Yes,12/14/2009 12:00:00 AM,18ec5189-fcbd-4833-a923-a3321c2949c4,698627.556640625,12879.0633532645
29,Swansea,Swansea Park,210,Park,Neighborhood,10.72961787,Yes - 1956,1947,2008,NW,9,2,49th Av & Clayton St,23288,2650 E 49th Ave,,Denver,CO,,39.78554954,-104.95557185,PK,"Recreation Center, Picnic Tables, Playground, Outdoor Pool, Futsol Court, Football Field, Baseball / Softball Field, Bike/Pedestrian Path, Fitness Equipment, Horseshoe Pits",ParkArt_Swansea Park.pdf,swanseapark.jpg,No,3/24/2009 12:00:00 AM,921c437b-ed02-456d-bc88-042db936cea3,467380.284667969,3076.79789122767
30,Montbello Central,Montbello Central Park,541,Park,Community,36.89062306,Yes - 2007,1977,None,NE,11,5,Andrews Dr & Crown Blvd,1709,14255 E Andrews Dr,,Denver,CO,,39.78406031,-104.82765913,PK,"Picnic Shelter, Playground, Pump Track, Baseball / Softball Field Complex, Press Box, Soccer Field, Tennis Court, Restroom, Drinking Fountain, Picnic Tables, Benches, Bike/Pedestrian Path, Parking Lot, Bike Skills Course",ParkArt_Montbello Central Park.pdf,montbellopark.jpg,Yes,11/25/2008 12:00:00 AM,c1afb0b7-d588-472a-b0d1-7946ec1d7ae2,1606949.10742188,5330.17100582921
